comment,date,rating
"No cargan las películas en mi cuidad, sale que no hay funciones disponibles",2/03/2025,1
"Muy rápido y fácil las compras por la app, lo recomiendo 😀",13/03/2025,5
"Suele funcionar bien, pero siendo alguien que compra recurrentemente, he visto demasiados errores, fallas con el pago, bloqueo se asientos por la misma falla de pago, el logueo llega a fallar.",16/12/2024,3
"lento, se pierde el pago, hay veces que procede el pago por tarjeta y solo se puede por yape",1/02/2025,3
la plataforma es muy deficiente. una experiencia estresante Bendiciones,25/02/2025,1
"El aplicativo está fallando, no aparece las butacas ya seleccionadas.",22/02/2025,2
es una buena aplicación para comprar las entradas sin hacer fila sobre todo es muy fácil de usar,13/02/2025,5
no me gusta el modo de cobro extra por compra por internet debería haber más beneficios a los que hacemos compras por internet,16/01/2025,4
"Excelente 👌 gracias han mejorado mucho, antes era un desastre su Apple, ahora es Excelente.",15/01/2025,4
el app te dice que tienes promo de 3 entradas por 6 soles y no se encuentra esa opción.,28/12/2024,3
"siempre que guardo la tarjeta para pagos frecuentes, me da error, debo borrar la tarjeta y volver a agregarla, eso es fastidioso",5/01/2025,1
"No me deja iniciar seción y sale que no tengo cuenta pero cuando dentro a crear una dale que ya existe, si no vale esa aplicación para que la hacen.",17/01/2025,2
"pésimo servicio en línea.. como es eso de.reservar para acercarse a pagar 40 minutos antes, esperando turno.",11/01/2025,1
la aplicación es una pérdida de tiempo... nunca logro acumular puntos,25/12/2024,1
Excelente manera de poder comprar desde la comodidad de casa Gracias por hacernos la vida más fácil 😊,11/01/2025,5
"La aplicación es lenta y se satura demasiado, deberían mejorar su tecnología",14/01/2025,3
Hace varias semanas que su app.está fallando y sigue igual de mal siempre,3/02/2025,1
Lento. Tuve que hacer la compra de entradas hasta 8 veces.,28/01/2025,1
"Es una porquería, no abre a menos que este abierto una cuenta de Gmail",25/01/2025,1
La plataforma es débil. Se cae cuando ofrece promociones. Mal incomodidad lo que generan,6/02/2025,2
"No se puede comprar, sale un anuncio de ""ha ocurrido un error""",2/03/2025,1
